Date,Trend,RUA.Adjusted,quarterly.returns,quarter
2000-01-31,MAX,761.72998,0.05066143016034452,2000.1
2000-04-28,MAX,797.059998,-0.03582197494178507,2000.2
2000-07-31,MAX,781.090027,0.0040680917481088485,2000.3
2000-10-31,MAX,788.02002,-0.09244947184767194,2000.4
2001-01-31,MIN,749.97998,-0.12411989941439894,2001.1
2001-04-30,MIN,686.119995,0.06506528089434727,2001.2
2001-07-31,MIN,665.48999,-0.15878173108330473,2001.3
2001-10-31,MIN,582.219971,0.11347943165258467,2001.4
2002-01-31,MAX,625.599976,0.006291868250726029,2002.1
2002-04-30,MAX,604.130005,-0.1339810339018337,2002.2
2002-07-31,MIN,508.119995,-0.17595225871192577,2002.3
2002-10-31,MIN,490.950012,0.07483363496775519,2002.4
2003-01-31,MIN,476.910004,-0.03493426903377528,2003.1
2003-04-30,MIN,510.329987,0.15739108075770836,2003.2
2003-07-31,MAX,558.52002,0.029849669492805653,2003.3
2003-10-31,MAX,596.280029,0.11911698085147937,2003.4
2004-01-30,MAX,642.609985,0.01832953185589048,2004.1
2004-04-30,MAX,627.710022,0.009132254494336411,2004.2
2004-07-30,MAX,622.330017,-0.023179957238099624,2004.3
2004-10-29,MAX,642.150024,0.0965961665038988,2004.4
2005-01-31,MAX,674.539978,-0.02620992873570971,2005.1
2005-04-29,MAX,660.02002,0.018002772646334764,2005.2
2005-07-29,MAX,715.02002,0.0357761485967949,2005.3
2005-10-31,MAX,698.140015,0.01558525667587407,2005.4
2006-01-31,MAX,746.77002,0.04858223181922616,2006.1
2006-04-28,MAX,765.809998,-0.024141336555216553,2006.2
2006-07-31,MIN,738.690002,0.0417893795405726,2006.3
2006-10-31,MAX,798.049988,0.06621966557700643,2006.4
2007-01-31,MAX,836.960022,0.008417139573928978,2007.1
2007-04-30,MAX,861.380005,0.05324167980085659,2007.2
2007-07-31,MAX,843.890015,0.010994143288415748,2007.3
2007-10-31,MAX,898.070007,-0.03802717275523948,2007.4
2008-01-31,MIN,796.830017,-0.09960901637816055,2008.1
2008-04-30,MIN,802.02002,-0.02161833683207348,2008.2
2008-07-31,MIN,741.119995,-0.09303566131914964,2008.3
2008-10-31,MIN,557.840027,-0.23271926897568174,2008.4
2009-01-30,MIN,476.26001,-0.11421429838867292,2009.1
2009-04-30,MIN,508.910004,0.16151272406928308,2009.2
2009-07-31,MAX,576.559998,0.15729435194068886,2009.3
2009-10-30,MAX,603.26001,0.05365642839350526,2009.4
2010-01-29,MAX,628.98999,0.054522047260713524,2010.1
2010-04-30,MAX,702.940002,-0.11734472830596065,2010.2
2010-07-30,MIN,649.390015,0.1099322589631011,2010.3
2010-10-29,MAX,700.369995,0.11075210077806585,2010.4
2011-01-31,MAX,765.140015,0.0592010423013567,2011.1
2011-04-29,MAX,816.659973,-0.0048497526187492035,2011.2
2011-07-29,MIN,771.109985,-0.15700003670886076,2011.3
2011-10-31,MIN,741.659973,0.11503528587777723,2011.4
2012-01-31,MAX,779.219971,0.12321904428516284,2012.1
2012-04-30,MAX,827.679993,-0.03650730311166295,2012.2
2012-07-31,MIN,810.650024,0.05680477796495409,2012.3
2012-10-31,MAX,833.609985,-0.0034264717179638415,2012.4
2013-01-31,MAX,891.789978,0.10533221348424582,2013.1
2013-04-30,MAX,949.830017,0.021731182193193366,2013.2
2013-07-31,MAX,1007.030029,0.05827275555635936,2013.3
2013-10-31,MAX,1053.300049,0.0956354625551139,2013.4
2014-01-31,MAX,1072.280029,0.014987038063598579,2014.1
2014-04-30,MAX,1125.079956,0.0437104817770011,2014.2
2014-07-31,MAX,1149.589966,-0.004565302960237827,2014.3
2014-10-31,MAX,1199.569946,0.04740271397413043,2014.4
2015-01-30,MAX,1188.930054,0.013209633283074673,2015.1
2015-04-30,MAX,1244.719971,-0.003354108671211997,2015.2
2015-07-31,MAX,1255.439941,-0.07709611476675449,2015.3
2015-10-30,MIN,1229.52002,0.057222027217255444,2015.4
2016-01-29,MIN,1136.839966,0.004203688003389772,2016.1
2016-04-29,MAX,1217.369995,0.02101269852740839,2016.2
2016-07-29,MAX,1284.27002,0.03879929258300563,2016.3
2016-10-31,MAX,1255.180054,0.036680675603562474,2016.4
2017-01-31,MAX,1355.469971,0.05239842498389624,2017.1
2017-04-28,MAX,1414.839966,0.010167677488405191,2017.2
